,width,SRR999253,SRR999254,SRR999255
10600;FBtr0307184,2200,21,29,19
10601;FBtr0307185,2200,16,27,14
10602;FBtr0086763,2200,30,33,42
10603;FBtr0340530,2200,0,1,0
10604;FBtr0086662,2200,1013,664,691
10605;FBtr0086663,2200,2907,1841,1957
10606;FBtr0086664,2200,3005,1916,2056
10607;FBtr0340328,2200,2919,1765,1909
10608;FBtr0086665,2200,4474,2672,2936
10609;FBtr0086666,2200,3720,2227,2523
1061;FBtr0343150,2200,0,0,0
10610;FBtr0086667,2200,4332,2581,2922
10611;FBtr0086668,2200,16,8,10
10612;FBtr0086669,2200,62,48,49
10613;FBtr0086670,2200,206,176,175
10614;FBtr0086671,2200,302,296,266
10615;FBtr0310489,2200,379,357,336
10616;FBtr0310490,2200,295,266,265
10617;FBtr0086672,2200,65,65,77
